番組ID,番組分類,番組名,摘要,放映順,楽曲ID,楽曲名,歌手名
5365,"TV","あたしンち","OP","6",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","OP","7",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","OP","8",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","OP","9",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","OP","10",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","OP","11",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","OP","12",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","OP","スポット放映",28781,"さらば","渡辺久美子,折笠富美子"
6431,"MV","あたしンち","OP","",28781,"さらば","渡辺久美子,折笠富美子"
5365,"TV","あたしンち","ED","1",22606,"来て来てあたしンち","平山綾"
5365,"TV","あたしンち","ED","2",28044,"あたしンち","矢野顕子"
5365,"TV","あたしンち","ED","3",22606,"来て来てあたしンち","平山綾"
5365,"TV","あたしンち","ED","4",37168,"Let's Go! あたしンち","ザ･タチバナーズ"
5365,"TV","あたしンち","ED","5",44648,"ほっとっとっとな まいにち","キグルミチコ"
5365,"TV","あたしンち","ED","6",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","ED","7",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","ED","8",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","ED","9",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","ED","10",54051,"プロリンサイズ♪","森三中"
5365,"TV","あたしンち","ED","11",22606,"来て来てあたしンち","平山綾"
6431,"MV","あたしンち","ED","",28044,"あたしンち","矢野顕子"
5365,"TV","あたしンち","ED","最終回の一つ前に放映",37168,"Let's Go! あたしンち","ザ･タチバナーズ"
5365,"TV","あたしンち","ED","最終回に放映",22601,"さらば","キンモクセイ"
23051,"TV","安達としまむら","OP","",127172,"君に会えた日","鬼頭明里,伊藤美来"
23051,"TV","安達としまむら","ED","1",127174,"キミのとなりで","鬼頭明里"
23051,"TV","安達としまむら","ED","最終回に放映",127172,"君に会えた日","鬼頭明里,伊藤美来"
45,"TV","アタッカーYOU!","OP","",3405,"青春プレリュード","加茂晴美"
45,"TV","アタッカーYOU!","ED","",790,"TWINKLE,TWINKLE","加茂晴美"
47,"TV","アタックNo.1","OP","1",902,"アタックNo.1","大杉久美子"
47,"TV","アタックNo.1","OP","スポット放映",900,"アタックNo.1","小鳩くるみ"
47,"TV","アタックNo.1","ED","1",2006,"バン・ボ・ボン","伊集加代子"
19900,"TV","ACCA13区監察課","OP","",104135,"Shadow and Truth","ONE III NOTES"
19900,"TV","ACCA13区監察課","ED","1",104136,"ペールムーンがゆれてる","結城アイラ"
19900,"TV","ACCA13区監察課","ED","最終回に放映",104890,"Our Place","ONE III NOTES"
21045,"TV","あっくんとカノジョ","OP","1",112085,"恋のバルーン","大島はるな"
21045,"TV","あっくんとカノジョ","OP","2",113946,"We☆Pace!!","大島はるな"
48,"VD","アッセンブル・インサート","OP","",907,"アッセンブル・インサート","笠原弘子"
48,"VD","アッセンブル・インサート","ED","1",4620,"あいつ","笠原弘子"
48,"VD","アッセンブル・インサート","ED","2",4621,"あま色の夢のつぼ","笠原弘子"
14444,"TV","あっちこっち","OP","",73960,"あっちでこっちで","あっち⇔こっち"
14444,"TV","あっちこっち","ED","",73961,"手をギュしてね","大久保瑠美"
22647,"TV","天晴爛漫!","OP","",123854,"I got it!","Mia REGINA"
22647,"TV","天晴爛漫!","ED","1",123855,"I'm Nobody","森久保祥太郎"
22647,"TV","天晴爛漫!","ED","最終回に放映",123854,"I got it!","Mia REGINA"
1789,"VD","アップフェルラント物語","ED","",4771,"ONE DAY AT A TIME(日本語バージョン)","舩木真弓"
6526,"MV","アップルシード","OP","",28853,"Good Luck (Feat. Lisa Kekaula)","Basement Jaxx"
6526,"MV","アップルシード","ED","1",29069,"Anthem","BOOM BOOM SATELLITES"
6526,"MV","アップルシード","ED","2",29070,"Under Dog","BOOM BOOM SATELLITES"
2435,"VD","アップルシード","ED","",8056,"Crystal Celebration","結城梨沙"
22512,"MV","APPLESEED α","ED","",122938,"Depth(vocal dub mix)","中田ヤスタカ"
13620,"VD","APPLESEED XIII","OP","",77104,"APPLESEED XIII(オープニングテーマ(韃靼人の踊り))","(インストゥルメンタル)"
13620,"VD","APPLESEED XIII","ED","",77105,"APPLESEED XIII(エンディングテーマ(韃靼人の踊り))","(インストゥルメンタル)"
6922,"MV","アテルイ","ED","1",32609,"グローリー","大友康平"
6922,"MV","アテルイ","ED","2",32610,"ATERUI will HERO","K-A-Z,生沢佑一"
7114,"MV","跡部からの贈り物~君に捧げるテニプリ祭り~","ED","",32771,"DEPARTURES","青酢,キャップと瓶"
20140,"TV","アトム ザ・ビギニング","OP","",105644,"解読不能","After the Rain"
20140,"TV","アトム ザ・ビギニング","ED","",105647,"光のはじまり","南條愛乃"
10636,"MV","アトランティス 失われた帝国","ED","日本語吹替版",52135,"crystal vine","DREAMS COME TRUE"
14018,"TV","Another","OP","",72321,"凶夢伝染","ALI PROJECT"
14018,"TV","Another","ED","",72654,"anamnesis","Annabel"
2534,"VD","ANOTHER STORY OF BUBBLEGUM CRISIS A.D POLICE THE MAD CRIMINAL INVESTIGATION FILE","OP","",42766,"Lonely Soldier","古川登志夫"
2534,"VD","ANOTHER STORY OF BUBBLEGUM CRISIS A.D POLICE THE MAD CRIMINAL INVESTIGATION FILE","ED","1",8279,"WHAT A FOOL I AM","LOU BONNEVIE"
2534,"VD","ANOTHER STORY OF BUBBLEGUM CRISIS A.D POLICE THE MAD CRIMINAL INVESTIGATION FILE","ED","2",8280,"LOVE ME TONIGHT","LOU BONNEVIE"
2534,"VD","ANOTHER STORY OF BUBBLEGUM CRISIS A.D POLICE THE MAD CRIMINAL INVESTIGATION FILE","ED","3",8281,"CRY CRY CRY","LOU BONNEVIE"
2984,"VD","あなたが振り返るとき","OP","",9353,"虹を追いかけて","Reepi Cheep"
2984,"VD","あなたが振り返るとき","ED","",9353,"虹を追いかけて","Reepi Cheep"
17109,"MV","アナと雪の女王","ED","",87725,"レット・イット・ゴー~ありのままで~","May J."
18556,"TV","アニサン劇場","OP","1",95298,"NEXTAGE","i☆Ris"
18556,"TV","アニサン劇場","OP","2",95299,"天手古舞","みみめめMIMI"
18602,"TV","あにトレ!EX","ED","",95669,"ばいたる☆エクササイズ","伊藤美来,和氣あず未,小牧未侑,長縄まりあ,高尾奏音"
19641,"TV","あにトレ!XX","OP","",102718,"Cheer for you♪♬","伊藤美来,和氣あず未,小牧未侑,長縄まりあ,高尾奏音,鈴木絵理"
19641,"TV","あにトレ!XX","ED","第1話のみ放映",102718,"Cheer for you♪♬","伊藤美来,和氣あず未,小牧未侑,長縄まりあ,高尾奏音,鈴木絵理"
20139,"TV","兄に付ける薬はない!","OP","",105639,"Sunny side up","Brian the Sun"
22259,"TV","兄に付ける薬はない!3","OP","",121019,"進撃的青春","王玥"
21306,"TV","兄に付ける薬はない!2","OP","",114139,"Let Him Go!","佑可猫"
23094,"TV","兄に付ける薬はない!4","OP","",127413,"Come on youth","王玥,鶴森Mori"
21456,"TV","アニマエール!","OP","",115080,"ジャンプアップ↑エール!!","神ノ木高校チアリーディング部"
21456,"TV","アニマエール!","ED","第1話のみ放映",115080,"ジャンプアップ↑エール!!","神ノ木高校チアリーディング部"
21456,"TV","アニマエール!","ED","1",115081,"One for All","神ノ木高校チアリーディング部"
3670,"TV","ANIMANIACS","OP","",12109,"MAIN TITLE","中尾隆聖,水島裕,大谷育江"
3670,"TV","ANIMANIACS","ED","",12112,"STAR WORLD","V B B"
7736,"TV","アニマル横町","OP","1",36409,"飛んでもNothing~どき☆どきアニマル横町のうたの巻~","江里夏,宍戸留美,永澤菜教,佐藤ゆうこ"
7736,"TV","アニマル横町","OP","2",39174,"ラブ chu ユー!!","りぼんガール"
7736,"TV","アニマル横町","ED","1",36410,"ファンタジスタ★ガール","the Indigo"
7736,"TV","アニマル横町","ED","2",39175,"Sweetie","折笠富美子"
7736,"TV","アニマル横町","ED","最終回に放映",36410,"ファンタジスタ★ガール","the Indigo"
49,"TV","アニマル1","OP","1",16436,"アニマル1の歌","朱里エイコ"
49,"TV","アニマル1","ED","1",16437,"ナナコの歌","葉村エツコ"
50,"TV","アニメーション紀行マルコポーロの冒険","OP","1",1032,"いつの日か旅するものよ","小椋佳"
50,"TV","アニメーション紀行マルコポーロの冒険","ED","1",5080,"誰でもいいから","小椋佳"
50,"TV","アニメーション紀行マルコポーロの冒険","ED","2",2248,"また旅仕度","小椋佳"
50,"TV","アニメーション紀行マルコポーロの冒険","ED","3",5081,"大空から見れば","小椋佳"
50,"TV","アニメーション紀行マルコポーロの冒険","ED","4",5084,"望郷","小椋佳"
50,"TV","アニメーション紀行マルコポーロの冒険","ED","5",5082,"それが夢ならば","小椋佳,ジョイ・メイリー"
50,"TV","アニメーション紀行マルコポーロの冒険","ED","スポット放映",5083,"蒼き狼","小椋佳"
50,"TV","アニメーション紀行マルコポーロの冒険","ED","スポット放映",6600,"ひとすくいの水","小椋佳"
4426,"VD","アニメーション制作進行くろみちゃん","ED","",17296,"ひだまりの街で","麻生かほ里"
6783,"VD","アニメーション制作進行くろみちゃん2","ED","",17296,"ひだまりの街で","麻生かほ里"
2697,"VD","アニメ・アート・ビデオ・コレクション 童話","ED","スポット放映",9357,"(不明)","山野さと子,こやぎ合唱隊"
6228,"TV","アニメ愛のあわあわアワー","ED","",27101,"くもくもがけにこんまたけやふ","南烏山六丁目プロダクション"
51,"TV","あにめあさいち","ED","1",90,"Be My Love","プリティキャスト"
51,"TV","あにめあさいち","ED","再放送時に放映",11464,"救いのビーナス!","プリティキャスト"
52,"TV","アニメ親子劇場","OP","",1655,"タイムブックの歌","宮内良"
52,"TV","アニメ親子劇場","ED","",2390,"ゆかいな仲間たち","藤本房子"
20603,"TV","アニメガタリズ","OP","",108709,"アイコトバ","GARNiDELiA"
20603,"TV","アニメガタリズ","ED","",108710,"グッドラック ライラック","GATALIS"
2308,"VD","アニメ神だのみ入門","OP","",7723,"POWER LIGHT","フカミセイザン"
2308,"VD","アニメ神だのみ入門","ED","",7724,"エンゼルは来たり","深見青山"
53,"TV","アニメ缶","OP","",4090,"立入禁止","Hiromi"
333,"TV","アニメ がんばれゴエモン","OP","1",3240,"少年の羽根","猿岩石"
333,"TV","アニメ がんばれゴエモン","OP","2",859,"You're mine","NONKEYS"
333,"TV","アニメ がんばれゴエモン","ED","1",576,"O.K!O.K.","栗林みえ"
1641,"TV","ANIME COMPLEX","OP","1",4212,"“キミ”~Identification","鈴木裕美子"
1641,"TV","ANIME COMPLEX","ED","1",4218,"朝とパレード","鈴木裕美子"
54,"TV","アニメ三銃士","OP","1",3969,"夢冒険","酒井法子"
54,"TV","アニメ三銃士","ED","1",2126,"プレッジハート(誓約)","PumpKin"
54,"TV","アニメ三銃士","ED","2",3488,"太陽のハレーション","PumpKin"
1589,"MV","アニメ三銃士 アラミスの冒険","ED","",3969,"夢冒険","酒井法子"
1615,"TV","アニメ週刊DX! みいファぷー","OP","1",1057,"ウキウキパラダイス","米良美一"
1615,"TV","アニメ週刊DX! みいファぷー","OP","2",23487,"ウキウキパラダイス","おおたか静流"
1615,"TV","アニメ週刊DX! みいファぷー","ED","1",1966,"バナナチップス","少年ナイフ"
14354,"VD","アニメ 世界の名作シリーズ ファーブル昆虫記","OP","",73463,"イエス・いのち!","高瀬麻里子"
14354,"VD","アニメ 世界の名作シリーズ ファーブル昆虫記","ED","",73464,"(インストゥルメンタル:曲名不明)","(インストゥルメンタル)"
22239,"TS","アニメ 大好きだったあなたへ -ヒバクシャからの手紙-","ED","",7519,"インストゥルメンタル曲(曲名不明)","(インストゥルメンタル)"
18194,"WA","アニメで分かる心療内科","ED","",93284,"からっぽカプセル","内田真礼"
20508,"TS","アニメドキュメント 女川中バスケ部 5人の夏","ED","",108173,"鈴懸の風薫る","遊佐未森"
57,"TV","アニメドキュメント ミュンヘンへの道","OP","1",2288,"ミュンヘンへの道","ハニー・ナイツ"
57,"TV","アニメドキュメント ミュンヘンへの道","OP","2",2288,"ミュンヘンへの道","ハニー・ナイツ"
57,"TV","アニメドキュメント ミュンヘンへの道","ED","",3709,"燃える青春","ハニー・ナイツ"
58,"TV","アニメ80日間世界一周","OP","1",1553,"スカイ ウェイ","潘恵子"
58,"TV","アニメ80日間世界一周","ED","1",2099,"ふたりの時計","潘恵子"
59,"TV","アニメ秘密の花園","OP","1",2823,"逆転タイフーン","早坂好恵"
59,"TV","アニメ秘密の花園","ED","1",1989,"はらほろひれはれ","早坂好恵"
60,"TV","アニメブルーナの絵本","OP","2",9626,"(おはなしのうた)","長沢彩"
60,"TV","アニメブルーナの絵本","OP","3",9627,"(ミッフィーのうた)","長沢彩,金子由衣,金子早菜"
60,"TV","アニメブルーナの絵本","OP","4",9628,"(ポリスのうた)","金子早菜"
60,"TV","アニメブルーナの絵本","OP","5",9629,"(ボビーのうた)","(不明)"
60,"TV","アニメブルーナの絵本","OP","6",16423,"えほんのとびら","長沢彩"
60,"TV","アニメブルーナの絵本","OP","7",16428,"いっしょにあそぼ!","山本千夏"
60,"TV","アニメブルーナの絵本","OP","",9625,"(メインテーマ)","長沢彩"
60,"TV","アニメブルーナの絵本","ED","",16428,"いっしょにあそぼ!","山本千夏"
12486,"WA","アニメ漫才 猫ラーメン","OP","",62833,"キミは大将!!","田中勝己"
61,"TV","アニメ野生のさけび","OP","",2575,"愛する地球の上で","たいらいさお"
61,"TV","アニメ野生のさけび","ED","",3101,"四季のロンド","たいらいさお"
4033,"TV","アニメ浪曲紀行 清水次郎長伝","OP","1",13893,"うなれ!TORAZO","the Case BY Case,ふみまる,じんじん"
4033,"TV","アニメ浪曲紀行 清水次郎長伝","ED","1",13894,"平成お行儀音頭","さんしょ,the Case BY Case,おにょろ"
11972,"TV","あにゃまる探偵 キルミンずぅ","OP","",60295,"Poo","Neko Jump"
11972,"TV","あにゃまる探偵 キルミンずぅ","ED","1",60296,"Chuai Mad Noi","Neko Jump"
11972,"TV","あにゃまる探偵 キルミンずぅ","ED","2",64512,"Clap your Sunday!","Neko Jump"
11972,"TV","あにゃまる探偵 キルミンずぅ","ED","再放送時に放映",61985,"Chuai mad noi-朝イチ大パニック!-","Neko Jump"
22277,"VD","兄嫁はいじっぱり","OP","",101448,"Flower","真理絵"
22277,"VD","兄嫁はいじっぱり","ED","",120659,"明日","明日香"
17686,"VD","アネキの口内解禁日","ED","",90614,"PARAMETRON","REIKA"
9417,"VD","あねき…MY SWEET ELDER SISTER THE ANIMATION","OP","",46527,"くちびるに火をつけて","一色まゆ"
8754,"VD","姉汁 THE ANIMATION~白川三姉妹におまかせ~","ED","",42836,"My Sweet room","MiYu"
8755,"VD","姉☆孕みっくす","ED","",42837,"A☆Naked","おだちえり"
8755,"VD","姉☆孕みっくす","ED","最終回に放映",42837,"A☆Naked","おだちえり"
18912,"VD","あねよめカルテット","ED","",90076,"姉嫁修業","Ayumi.,薬師るり"
17700,"VD","姉ログ","OP","",95299,"天手古舞","みみめめMIMI"
17700,"VD","姉ログ","ED","",90740,"アネソン~靄子姉さんの止まらない妄ソング~","小清水亜美"
14188,"TV","あの夏で待ってる","OP","",72580,"sign","Ray"
14188,"TV","あの夏で待ってる","ED","",72581,"ビードロ模様","やなぎなぎ"
17546,"VD","あの夏で待ってる 特別編","OP","",89895,"季節のシャッター","Ray"
17546,"VD","あの夏で待ってる 特別編","ED","",89896,"point at infinity","やなぎなぎ"
13391,"TV","あの日見た花の名前を僕達はまだ知らない。","OP","",68373,"青い栞","Galileo Galilei"
13391,"TV","あの日見た花の名前を僕達はまだ知らない。","OP","再放送時に放映",83402,"サークルゲーム","Galileo Galilei"
13391,"TV","あの日見た花の名前を僕達はまだ知らない。","ED","1",68374,"secret base~君がくれたもの~(10 years after ver.)","茅野愛衣,戸松遥,早見沙織"
13391,"TV","あの日見た花の名前を僕達はまだ知らない。","ED","最終回に放映",68373,"青い栞","Galileo Galilei"
22801,"VD","あの山に登ろうよ","ED","",7519,"インストゥルメンタル曲(曲名不明)","(インストゥルメンタル)"
22728,"TV","あの世のすべては、おばけぐみっ!","OP","",124282,"忍~shinobi~","ZIPANG"
22728,"TV","あの世のすべては、おばけぐみっ!","ED","",124283,"Minerva","Sanaco"
2704,"VD","あばしり一家","ED","",9459,"やさしくなんかない!","頓宮恭子"
64,"TV","アパッチ野球軍","OP","",966,"アパッチ野球軍","林恵々子"
64,"TV","アパッチ野球軍","ED","",2296,"みんな みんな","坂本新兵"
17060,"TV","暴れん坊力士!!松太郎","OP","",87758,"ドスコイ人生","松平健,日野美歌"
22240,"TV","あひるの空","OP","1",120624,"Happy Go Ducky!","the pillows"
22240,"TV","あひるの空","OP","2",122035,"ネバーマインド","flumpool"
22240,"TV","あひるの空","OP","3",123779,"ハミングバード","BLUE ENCOUNT"
22240,"TV","あひるの空","OP","4",125200,"Rebirth","ACIDMAN"
22240,"TV","あひるの空","ED","1",120625,"ツバサ","saji-サジ-"
22240,"TV","あひるの空","ED","2",122036,"Over","内田雄馬"
22240,"TV","あひるの空","ED","3",123693,"光射す方へ","宮野真守"
22240,"TV","あひるの空","ED","4",125199,"太陽ランナー","阪本奨悟"
22240,"TV","あひるの空","ED","スポット放映",120624,"Happy Go Ducky!","the pillows"
17773,"TV","アブソリュート・デュオ","OP","",91647,"Absolute Soul","鈴木このみ"
17773,"TV","アブソリュート・デュオ","ED","1",91080,"Believe×Believe","山本希望"
17773,"TV","アブソリュート・デュオ","ED","2",91081,"アップルティーの味","山本希望,山崎はるか"
17773,"TV","アブソリュート・デュオ","ED","3",91082,"2/2","今村彩夏,諏訪彩花"
17773,"TV","アブソリュート・デュオ","ED","スポット放映",104629,"アップルティーの味","山崎はるか"
22258,"TV","アフリカのサラリーマン","OP","",120817,"Soul Flag","下野紘"
22258,"TV","アフリカのサラリーマン","ED","",120818,"ホワイトカラーエレジー","大塚明夫"
22258,"TV","アフリカのサラリーマン","ED","最終回に放映",120818,"ホワイトカラーエレジー","大塚明夫"
2436,"VD","安部譲二 かっとび青春記 渋谷ホンキイトンク","OP","",8059,"やさしく愛して","BORO,沢田研二"
2436,"VD","安部譲二 かっとび青春記 渋谷ホンキイトンク","ED","",8060,"悲しまないで Don't Let you down","BORO"
5298,"TV","アベノ橋魔法☆商店街","OP","",22449,"Treat or Goblins","林原めぐみ"
5298,"TV","アベノ橋魔法☆商店街","ED","",22450,"あなたの心に","林原めぐみ"
6277,"TV","AVENGER","OP","",27396,"月蝕グランギニョル","ALI PROJECT"
6277,"TV","AVENGER","ED","",27397,"未來のイヴ","ALI PROJECT"
6277,"TV","AVENGER","ED","最終回に放映",28782,"地獄の季節","ALI PROJECT"
4745,"MV","APO APOわーるど ジャイアント馬場90分一本勝負","ED","",19380,"APO APOロックンロール","翔"
20246,"TV","アホガール","OP","",106397,"全力☆Summer!","angela"
20246,"TV","アホガール","ED","",106398,"踊れ!きゅーきょく哲学","上坂すみれ"
16616,"MV","アマールカ","OP","",85274,"夢見る森のアマールカ","羊毛とおはな"
16616,"MV","アマールカ","ED","",85275,"青の時間","南波志帆"
19292,"TV","甘々と稲妻","OP","",100447,"晴レ晴レファンファーレ","みみめめMIMI"
19292,"TV","甘々と稲妻","ED","",100448,"Maybe","Brian the Sun"
21077,"TV","甘い懲罰~私は看守専用ペット","ED","",112076,"Sweet Punishment","rosukey"
7435,"TV","あまえないでよっ!!","OP","",34952,"あふれてゆくのはこの気持ち","あまえ隊っ!!"
7435,"TV","あまえないでよっ!!","ED","",34953,"happy days","中原麻衣"
7919,"TV","あまえないでよっ!! 喝!!","OP","1",37951,"あまえないでよっ!!","あまえ隊っ!!"
7919,"TV","あまえないでよっ!! 喝!!","ED","1",37952,"Lonesome Traveler","中原麻衣"
18916,"VD","アマカノ","ED","",90558,"snow crystal","Duca"
12802,"TV","アマガミSS","OP","1",64566,"i Love","azusa"
12802,"TV","アマガミSS","OP","2",66234,"君のままで","azusa"
12802,"TV","アマガミSS","ED","1",64741,"キミの瞳に恋してる","伊藤静"
12802,"TV","アマガミSS","ED","2",65011,"きっと明日は…","佐藤利奈"
12802,"TV","アマガミSS","ED","3",65012,"あなたしか見えない","今野宏美"
12802,"TV","アマガミSS","ED","4",65092,"恋はみずいろ","ゆかな"
12802,"TV","アマガミSS","ED","5",65202,"恋はあせらず","新谷良子"
12802,"TV","アマガミSS","ED","6",67018,"嘆きの天使","名塚佳織"
12802,"TV","アマガミSS","ED","最終回に放映",67487,"恋のゆくえ","門脇舞以"
12802,"TV","アマガミSS","ED","未放映話で使用",67826,"素敵なある日","阿澄佳奈"
14017,"TV","アマガミSS+ plus","OP","",72319,"Check my soul","azusa"
14017,"TV","アマガミSS+ plus","ED","1",72320,"告白","azusa"
17520,"TV","甘城ブリリアントパーク","OP","",89936,"エクストラ・マジック・アワー","AKINO"
17520,"TV","甘城ブリリアントパーク","ED","",89937,"エレメンタリオで会いましょう!","BRILLIANT4"
9945,"TV","あまつき","OP","",48897,"Casting Dice","カンノユウキ"
9945,"TV","あまつき","ED","",48927,"名まえのない道","引田香織"
19194,"TV","あまんちゅ!","OP","",99873,"Million Clouds","坂本真綾"
19194,"TV","あまんちゅ!","ED","",100578,"ふたり少女","てこぴかり"
20999,"TV","あまんちゅ!~あどばんす~","OP","1",111739,"Crosswalk","鈴木みのり"
20999,"TV","あまんちゅ!~あどばんす~","ED","1",111740,"ハロー、ハロー","坂本真綾"
1740,"VD","ARMITAGE III","ED","",4563,"いい夢を思い出せない","笠原弘子"
15689,"TV","AMNESIA","OP","",79762,"Zoetrope","やなぎなぎ"
15689,"TV","AMNESIA","ED","1",79763,"Recall","Ray"
15689,"TV","AMNESIA","ED","最終回に放映",80213,"星々の渡り鳥","やなぎなぎ"
19689,"TV","雨色ココア in Hawaii","OP","1",103021,"瞳は、雨色~endress summer rainbow~","佐藤祐吾"
21700,"TV","雨色ココア sideG","OP","",116864,"カラフルパサージュ","立花理香"
18142,"TV","雨色ココア RAINY COCOA","OP","",90394,"Rainy cocoa","下野紘"
18548,"TV","雨色ココア RAINY COCOA","OP","",95415,"Rainy cocoa","山本和臣,山谷祥生,山本匠馬,丸江俊也"
18548,"TV","雨色ココア RAINY COCOA","ED","",97092,"じゃあね、また","Rainy Color"
20566,"TV","あめこん!!","OP","",109170,"新たなる幕開けのための幕開けによる狂詩曲~キミがいればオレたちも笑顔∞(無限大)~","風男塾"
20566,"TV","あめこん!!","ED","",90394,"Rainy cocoa","下野紘"
2167,"MV","アモン・サーガ","ED","",7450,"風のTAKE A CHANCE","杉本誘里"
4245,"VD","AMON-デビルマン黙示録","ED","",15754,"目のまえのつづき","MANGAHEAD"
9432,"TV","AYAKASHI","OP","1",47788,"cloudier sky","彩音"
7925,"TV","怪~ayakashi~Japanese Classic Horror","OP","",37969,"HEAT ISLAND~怪edit~","Rhymester"
7925,"TV","怪~ayakashi~Japanese Classic Horror","ED","1",37982,"春のかたみ","元ちとせ"
9432,"TV","AYAKASHI","ED","1",47789,"篝火","KAORI"
3816,"TV","妖しのセレス","OP","1",12893,"スカーレット","岩男潤子"
3816,"TV","妖しのセレス","ED","1",12979,"ONE~この世が果てても離れない~","DAY-BREAK"
3816,"TV","妖しのセレス","ED","2",14174,"Cross My Heart","DAY-BREAK"
3816,"TV","妖しのセレス","ED","最終回に放映",14759,"スカーレット Ver.II","岩男潤子"
2404,"VD","綾音ちゃん ハイキック!","OP","",7876,"FIGHT FOR YOURSELF","THE STREET BEATS"
2404,"VD","綾音ちゃん ハイキック!","ED","",7877,"蒼い風の向こうに","宮村優子"
9349,"WA","あゆまゆ劇場","ED","",45697,"恋の爆弾でいと","UYAMUYA"
66,"TV","あらいぐまラスカル","OP","1",2496,"ロックリバーへ","大杉久美子,セントメリーチルドレンコーラス,コロムビアゆりかご会"
66,"TV","あらいぐまラスカル","ED","1",1119,"おいでラスカル","大杉久美子"
10055,"VD","あらいめんとゆーゆー THE ANIMATION","OP","",90857,"あらいめんと","一色まゆ"
21878,"TV","洗い屋さん!~俺とアイツが女湯で!?~","ED","",118121,"恋愛☆洗セーション","青葉りんご,伊ヶ崎綾香"
12532,"TV","荒川アンダー ザ ブリッジ","OP","1",63845,"ヴィーナスとジーザス","やくしまるえつこ"
12532,"TV","荒川アンダー ザ ブリッジ","OP","スポット放映",64513,"タイトルなんて自分で考えなさいな","沢城みゆき"
12532,"TV","荒川アンダー ザ ブリッジ","ED","1",63846,"逆様ブリッジ","スネオヘアー"
13022,"TV","荒川アンダー ザ ブリッジ*2","OP","1",66394,"COSMOS vs ALIEN","やくしまるえつこ"
13022,"TV","荒川アンダー ザ ブリッジ*2","OP","スポット放映",67392,"行様☆Go!Summer!!~いや、行くのは金星だから~","チョー"
13022,"TV","荒川アンダー ザ ブリッジ*2","ED","1",66475,"赤いコート","スネオヘアー"
13022,"TV","荒川アンダー ザ ブリッジ*2","ED","最終回に放映",63846,"逆様ブリッジ","スネオヘアー"
7732,"MV","あらしのよるに","ED","",36400,"スター","aiko"
14460,"TV","あらしのよるに ひみつのともだち","OP","",74658,"Friendship Birthday~あらしのよるに~","Sea☆A"
14460,"TV","あらしのよるに ひみつのともだち","ED","",74659,"Dear My Friend","U-KISS"
67,"TV","アラジン","OP","",16812,"アラビアン・ナイト","三浦慎也"
8256,"MV","アラジン","OP","",70166,"Arabian Nights","Bruce Adler"
8256,"MV","アラジン","OP","日本語吹替版",16812,"アラビアン・ナイト","三浦慎也"
8256,"MV","アラジン","ED","",45946,"A WHOLE NEW WORLD(ALADDIN'S THEME)","Peabo Bryson,REGINA BELLE"
3657,"VD","アラジン ジャファーの逆襲","OP","",12022,"アラビアンナイト","(不明)"
15872,"TV","アラタカンガタリ~革神語~","OP","",80886,"GENESIS ARIA","スフィア"
15872,"TV","アラタカンガタリ~革神語~","ED","1",80887,"The Misfit Go","OLDCODEX"
15872,"TV","アラタカンガタリ~革神語~","ED","2",82412,"美しい背骨","OLDCODEX"
15529,"VD","アラタなるセカイ","ED","",78869,"アラタなるセカイ","河野マリナ"
22702,"TV","アラド:逆転の輪","OP","",124108,"ORATIO","新田恵海"
22702,"TV","アラド:逆転の輪","ED","",124242,"朝焼けアプローチ","Prima Porta"
10484,"TV","アラド戦記~スラップアップパーティー~","OP","1",56536,"Party Play","野川さくら"
10484,"TV","アラド戦記~スラップアップパーティー~","OP","2",58077,"塞塵のパンドラ","野川さくら"
10484,"TV","アラド戦記~スラップアップパーティー~","ED","1",56556,"果てしない世界","YMCK"
10484,"TV","アラド戦記~スラップアップパーティー~","ED","2",57914,"LEVEL∞","長谷川明子"
10484,"TV","アラド戦記~スラップアップパーティー~","ED","最終回に放映",56536,"Party Play","野川さくら"
68,"TV","アラビアンナイト シンドバットの冒険","OP","1",1543,"シンドバットの冒険","堀江美都子,コロムビアゆりかご会"
68,"TV","アラビアンナイト シンドバットの冒険","ED","1",1542,"シンドバットのうた","堀江美都子,コロムビアゆりかご会"
22085,"TV","荒ぶる季節の乙女どもよ。","OP","",119380,"乙女どもよ。","CHiCO"
22085,"TV","荒ぶる季節の乙女どもよ。","ED","1",119381,"ユメシンデレラ","麻倉もも"
22085,"TV","荒ぶる季節の乙女どもよ。","ED","最終回に放映",119380,"乙女どもよ。","CHiCO"
2537,"VD","アリーズ -神話の星座宮-","ED","",8293,"約束","川村万梨阿"
5839,"MV","アリーテ姫","ED","",25239,"金色の翼","大貫妙子"
18470,"MV","ARIA The AVVENIRE","ED","",94742,"ピアチェーレ","西沢幸奏"
9154,"VD","ARIA The OVA~ARIETTA~","OP","1",45313,"七色の空を","SONOROUS"
